,Match Datetime,campaign,Competition,Team name,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,id,scaled midfield,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C,Indiv Order
0,2025-09-26 12:00:00,92,Asia and Oceania Cup,Hayastan,12.9905,12.2819,12.2819,11.25,21.0,22.25,21.0,13.75,13.0,13.0,9.0,11.75,Counter-attacks,17,0,4-4-2,4,4,2,0,-10,16,ZUQEUQQQEHQQQE,43000000,A,Indonesia,12.0,21.0,24.25,22.0,11.0,10.5,12.0,9.25,11.75,Counter-attacks,20,0,4-4-2,4,4,2,3,-7,14,ZUPEUUQQEUQPEQ,0.0,H,38537483,10.6345,Ind,2025-09-26,CA,CC,10.6345356932654,442ca,NNN-WMNN-NNNN-
1,2025-09-19 12:00:00,92,Asia and Oceania Cup,Hayastan,15.7208,17.3881,15.4826,12.0,16.0,14.75,15.25,16.5,18.25,16.25,9.25,11.0,Normal,0,0,3-4-3,3,4,3,2,5,17,ZUEQEUQHEHQUQQ,0,H,Malaysia,8.25,22.0,24.75,26.5,6.5,12.5,14.75,8.5,12.5,Counter-attacks,23,0,5-3-2,5,3,2,1,-10,15,ZZUPTQEEQQQHEH,2004011000.0,A,38537463,10.9654,Mal,2025-09-19,N,CC,10.965352560190892,343,NN-N-NNN-NNNNN
2,2025-09-15 12:00:00,92,Asia and Oceania Cup,Hayastan,10.4462,9.4745,11.418,9.75,23.75,26.0,24.75,10.75,9.75,11.75,8.75,12.5,Counter-attacks,18,0,4-4-2,4,4,2,1,-10,18,ZUQEUQUHEQQQQE,43000000,A,Hong Kong,16.75,15.0,15.5,17.5,14.0,15.25,14.75,10.0,12.0,Normal,0,0,3-5-2,3,5,2,0,0,13,ZQEHEPHTPTQQEU,10000.0,H,38537441,11.0267,Hon,2025-09-15,CA,CC,11.026661387929831,442ca,NNN-WMNN-NNNN-
3,2025-09-12 12:00:00,92,Asia and Oceania Cup,Hayastan,11.9038,13.3615,12.3897,13.25,18.0,18.25,18.5,12.25,13.75,12.75,9.25,12.0,Normal,0,0,3-5-2,3,5,2,1,-1,17,ZUEQEUTHHQQQQE,2123000300,H,Myanmar,15.25,16.5,16.25,14.75,15.75,17.75,12.0,8.75,11.0,Normal,0,0,3-5-2,3,5,2,1,0,12,ZHEUEUUZHHHUWE,130100300.0,A,38537420,13.4336,Mya,2025-09-12,N,CC,13.4335620150331,bal,ND-O-DMNNNMNN-
4,2025-09-08 12:00:00,92,Asia and Oceania Cup,Hayastan,11.175,10.6892,11.6609,8.5,22.0,24.5,23.5,11.5,11.0,12.0,8.75,12.25,Counter-attacks,18,0,4-4-2,4,4,2,2,-10,17,ZUQEUQUHEHQQQE,43000000,A,Dhivehi Raajje,11.75,16.75,15.75,16.5,14.0,17.0,14.0,8.75,11.25,Normal,0,0,3-4-3,3,4,3,2,0,13,ZQEHEHQHEUQQPQ,3003000.0,H,38537399,11.3122,Dhi,2025-09-08,CA,CC,11.312248099667055,442ca,NNN-WMNN-NNNN-
5,2025-09-05 12:00:00,92,Asia and Oceania Cup,Hayastan,13.3615,15.5479,13.8473,10.75,16.5,16.75,16.5,13.75,16.0,14.25,9.5,11.75,Normal,0,0,3-5-2,3,5,2,1,2,17,ZUEQEUQHHQUEQQ,3000300,H,Indonesia,7.75,20.75,23.25,21.75,18.5,9.25,5.75,9.5,11.5,Counter-attacks,20,0,4-4-2,4,4,2,1,-10,14,ZUUEUQQQEUQQEW,2140340.0,A,38537378,13.2246,Ind,2025-09-05,N,CC,13.22460955500487,bal,NN-N-NMNNNM-NN
6,2025-08-29 20:00:00,92,Friendly,Hayastan,,,,6.0,11.5,11.25,9.5,6.0,7.5,10.0,7.75,9.75,Play creatively,19,0,3-4-3,3,4,3,1,-10,10,ZQEQEPHQEQTHQH,3000000000,H,El Salvador,5.25,17.0,15.0,13.5,8.0,11.0,8.5,7.25,9.25,Pressing,10,0,3-4-3,3,4,3,3,-10,8,UTEHEQHPEUTUQW,0.0,A,38559116,,El ,2025-08-29,PC,F,,343,NM-N-NNN-NNNNN
7,2025-08-22 20:00:00,92,Friendly,Hayastan,,,,5.25,14.0,18.25,13.5,11.25,10.25,8.0,7.75,8.75,Counter-attacks,20,0,5-3-2,5,3,2,1,-10,10,QHQQUUTUEEHEQQ,0,A,Paraguay,5.0,20.5,22.0,20.25,13.75,6.0,15.75,8.0,10.75,Counter-attacks,14,0,4-4-2,4,4,2,1,-10,8,ZHQEUUUHEQHTEQ,2002104144.0,H,38530390,,Par,2025-08-22,CA,F,,hardca,NNNNNNNN--N-NN
8,2025-08-15 20:00:00,90,Friendly,Hayastan,,,,8.25,15.0,13.75,15.25,10.75,13.5,13.0,8.25,11.0,Normal,0,0,3-4-3,3,4,3,2,0,10,ZUEQEHHEQHTQQQ,100100000,A,Rossiya,6.75,20.0,20.75,19.0,11.5,7.5,10.75,5.5,10.25,Normal,0,0,4-5-1,4,5,1,0,0,9,ZUQEQUHQUHUEPE,3443000000.0,H,38383294,,Ros,2025-08-15,N,F,,343,NN-O-NN-ONNNNN
9,2025-08-08 20:00:00,90,Friendly,Hayastan,,,,6.5,11.75,18.5,15.75,5.25,7.75,8.0,8.0,10.25,Normal,0,0,5-4-1,5,4,1,0,0,10,UHQQTHEHQUQEQE,0,A,Paraguay,6.0,14.0,14.5,14.0,14.75,14.25,12.5,8.75,10.25,Normal,0,0,3-4-3,3,4,3,2,0,8,ZHEHEUHHEpQHPQ,20000.0,H,38289135,,Par,2025-08-08,N,F,,bal,NNNNNN-NNNN-N-
