,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield
0,2025-04-25 20:00:00,90,World Cup,17.28312685887939,11.80433783165593,18.585553181756143,15.822835816900502,Uganda,14.0,11.5,14.5,15.0,11.75,18.5,15.75,8.25,10.25,Normal,0,0,2-5-3,2,5,3,1,0,12,ZEUEEHUHHTQUQU,H,Saudi Arabia,9.0,18.5,21.0,18.75,17.5,9.5,16.0,8.25,11.25,Counter-attacks,19,0,4-4-2,4,4,2,1,-1,13,ZQZEPUUQEHHUEU,A,Sau,2025-04-25,N,WC1,17.28312685887939
1,2025-04-18 20:00:00,90,World Cup,11.621456204202387,6.723330576110008,4.396023838225775,12.153712964506553,Uganda,7.75,28.25,28.0,29.5,6.5,4.25,11.75,7.25,12.75,Counter-attacks,25,0,5-4-1,5,4,1,1,-10,13,ZUQHUPHEQHQEEU,A,England,14.5,14.75,13.25,14.25,17.5,19.5,16.25,9.75,11.75,Normal,0,0,2-5-3,2,5,3,0,7,17,ZUEEEHQHPUQUPQ,H,Eng,2025-04-18,CA,WC1,11.621456204202387
2,2025-04-11 20:00:00,90,World Cup,13.19466489813212,12.44502152551407,4.666883072067776,6.741053326320121,Uganda,8.5,27.25,29.0,27.5,12.0,4.5,6.5,7.75,12.75,Counter-attacks,23,0,5-4-1,5,4,1,0,-10,13,ZPUQHUQHEHHUEE,A,Polska,13.75,15.0,16.5,17.25,17.5,18.5,18.5,9.25,11.25,Normal,0,0,3-5-2,3,5,2,1,5,13,ZUEPEUQHUQUPHE,H,Pol,2025-04-11,CA,WC1,13.19466489813212
3,2025-04-07 20:00:00,90,World Cup,17.011200556801974,14.567600481713878,15.781567188523368,12.625253750818693,Uganda,12.0,17.0,15.75,14.5,15.0,16.25,13.0,7.75,10.5,Normal,0,0,3-5-2,3,5,2,0,0,13,ZPEQEHUTHHQUEU,H,Colombia,9.75,24.25,28.0,24.25,10.75,9.75,10.25,9.5,12.5,Counter-attacks,22,0,5-3-2,5,3,2,4,-10,12,ZHHQHQUEEHQEWQ,A,Col,2025-04-07,N,WC1,17.011200556801974
4,2025-04-04 20:00:00,90,World Cup,19.77733757965961,11.15880799756831,13.584635823126638,10.916225215012476,Uganda,10.5,19.5,18.5,16.5,11.5,14.0,11.25,7.5,10.5,Normal,0,0,3-5-2,3,5,2,1,-10,13,ZPEQEHQTHHUUEU,A,Hayastan,10.5,14.5,13.75,15.25,15.25,18.75,15.75,10.25,12.0,Normal,0,0,3-4-3,3,4,3,1,10,19,ZTEQEQQEQTQUQQ,H,Hay,2025-04-04,N,WC1,19.77733757965961
5,2025-03-28 20:00:00,90,Friendly,,,,,Uganda,7.25,16.0,18.75,18.25,10.5,9.25,10.75,6.5,9.75,Counter-attacks,12,0,4-4-2,4,4,2,1,-10,10,ZZQETHQQEHUQEU,H,Costa Rica,7.75,14.0,13.0,12.75,8.0,12.5,13.75,9.75,10.25,Normal,0,0,3-4-3,3,4,3,3,0,11,ZHZEEUEQQUHQUQ,A,Cos,2025-03-28,CA,F,
6,2025-03-21 20:00:00,90,Friendly,,,,,Uganda,6.75,15.25,17.25,16.0,12.75,11.0,12.25,6.75,10.25,Normal,0,0,4-4-2,4,4,2,1,0,10,ZZUETHQQEHHPEU,H,Angola,10.25,18.75,18.0,18.25,7.5,12.75,12.25,9.0,11.0,Normal,0,0,2-5-3,2,5,3,6,0,16,ZQEEEUZHHHUQHW,A,Ang,2025-03-21,N,F,
7,2025-03-14 21:00:00,90,Africa Cup,12.002879803979916,6.48363578097662,4.322423853984413,15.128483488945445,Uganda,7.5,27.25,27.5,27.5,6.75,4.5,15.75,7.0,12.5,Counter-attacks,22,0,5-4-1,5,4,1,1,-10,13,HZHQUZpEHHQEEH,A,C̫te d'Ivoire,16.5,13.75,11.5,14.0,19.75,17.0,15.5,9.5,11.0,Normal,0,0,2-5-3,2,5,3,1,4,13,ZHEEEUSQHHUPUQ,H,C̫t,2025-03-14,CA,CC,12.002879803979916
8,2025-03-07 21:00:00,90,Africa Cup,16.3524460710579,15.395032029907895,17.83868790767105,15.63939761768421,Uganda,15.5,15.5,13.25,16.25,15.75,18.25,16.0,8.5,10.75,Normal,0,0,2-5-3,2,5,3,1,0,14,ZZEEEZHHHTQUQH,H,Cabo Verde,14.75,21.0,21.0,20.0,7.5,8.75,10.0,7.25,11.25,Pressing,13,0,3-5-2,3,5,2,0,-10,12,ZUEPETUUpHQETW,A,Cab,2025-03-07,N,CC,16.3524460710579
9,2025-02-28 21:00:00,90,Africa Cup,16.99841375686795,13.684799580043236,13.929171001115437,13.440428158971036,Uganda,13.0,17.25,17.25,17.75,14.0,14.25,13.75,8.5,11.5,Normal,0,0,3-5-2,3,5,2,0,0,13,ZZEHEZQHHTQQEH,H,Ghana,9.0,21.25,20.75,21.25,18.25,13.25,16.25,8.25,11.75,Counter-attacks,18,0,4-4-2,4,4,2,0,-2,13,ZQQEUUQQpETEWU,A,Gha,2025-02-28,N,CC,16.99841375686795
10,2025-02-21 21:00:00,90,Africa Cup,18.839465989063772,12.160792467750257,12.905330782102315,12.905330782102315,Uganda,15.25,17.25,18.0,17.5,12.25,13.0,13.0,8.0,11.0,Normal,0,0,3-5-2,3,5,2,2,0,14,ZZEHEZQUHTHQEU,A,Cameroon,16.0,10.5,12.5,15.5,12.25,17.75,15.25,9.0,10.75,Normal,0,0,3-5-2,3,5,2,1,7,16,ZTEQEZUUQUQQEQ,H,Cam,2025-02-21,N,CC,18.839465989063772
