,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield
0,2025-04-18 20:00:00,90,World Cup,18.987088377075377,13.243535151319502,14.282243790638677,13.503212311149294,Colombia,13.0,19.25,19.75,19.0,12.75,13.75,13.0,9.0,11.5,Normal,0,0,3-5-2,3,5,2,3,0,12,ZHEHEQQQQHUQEQ,A,Saudi Arabia,6.5,18.0,19.75,17.75,19.0,8.25,19.75,7.25,10.75,Counter-attacks,21,0,5-3-2,5,3,2,0,4,13,ZUUZPQUEEZHUEZ,H,Sau,2025-04-18,N,WC1,18.987088377075377
1,2025-04-11 20:00:00,90,World Cup,16.394144502357438,15.98742670722188,15.479889351437059,15.22612067354465,Colombia,13.0,17.75,17.5,16.0,15.75,15.25,15.0,9.5,11.75,Normal,0,0,3-5-2,3,5,2,1,0,13,ZHEHEQUHHQQPQE,H,England,8.75,25.0,28.25,28.0,7.25,5.5,16.25,9.5,13.25,Counter-attacks,20,0,4-3-3,4,3,3,3,-10,11,ZUUEHHQQEEQQQU,A,Eng,2025-04-11,N,WC1,16.394144502357438
2,2025-04-07 20:00:00,90,World Cup,16.14004389977243,11.433267928189503,10.36970812091606,10.901488024552782,Colombia,9.75,24.25,28.0,24.25,10.75,9.75,10.25,9.5,12.5,Counter-attacks,22,0,5-3-2,5,3,2,4,-10,12,ZHHQHQUEEHQEWQ,A,Uganda,12.0,17.0,15.75,14.5,15.0,16.25,13.0,7.75,10.5,Normal,0,0,3-5-2,3,5,2,0,0,13,ZPEQEHUTHHQUEU,H,Uga,2025-04-07,CA,WC1,16.14004389977243
3,2025-04-04 20:00:00,90,World Cup,18.36224343520237,14.300490441183172,15.860543943857701,15.080517192520436,Colombia,12.0,17.5,17.0,17.0,13.75,15.25,14.5,10.25,12.5,Normal,0,0,3-5-2,3,5,2,1,0,12,ZQEHEHQQQHUEPQ,H,Polska,11.0,17.5,16.75,17.25,15.0,16.0,14.75,9.25,11.5,Normal,0,0,3-5-2,3,5,2,3,0,12,ZUEPEUUQUUQWQE,A,Pol,2025-04-04,N,WC1,18.36224343520237
4,2025-03-28 20:00:00,90,Friendly,,,,,Colombia,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,Pressing,0,0,3-4-3,3,4,3,5,-10,9,QQEUEQQQEHZHUH,A,Indonesia,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,Normal,0,0,0-2-1,0,2,1,0,10,6,HEEEEEUEEPEQEE,H,Ind,2025-03-28,Pr,F,
5,2025-03-21 23:30:00,90,America Cup,14.348208664289547,13.217798803014544,11.921936175268018,12.44028122636663,Colombia,11.5,21.0,24.5,21.75,12.75,11.5,12.0,9.25,12.0,Counter-attacks,24,0,5-3-2,5,3,2,3,-10,14,ZQPHHHUQEEQEQW,N,Canada,9.75,21.5,23.25,21.75,12.5,12.0,12.5,8.25,11.5,Counter-attacks,17,0,4-4-2,4,4,2,5,-10,14,ZQHEUQHHHEHEQP,H,Can,2025-03-21,CA,CCQF,14.348208664289547
6,2025-03-14 23:30:00,90,America Cup,16.78176904764135,15.144298028834346,16.97205813576263,14.622080855426265,Colombia,12.75,16.25,14.75,16.0,14.5,16.25,14.0,10.25,12.5,Normal,0,0,3-5-2,3,5,2,2,4,14,ZHEHEQQUQUUPUE,H,Jamaica,8.0,23.25,24.75,23.25,11.0,10.5,12.0,9.75,12.5,Counter-attacks,19,0,4-4-2,4,4,2,2,-10,14,ZQUEQQZEQpQQEH,A,Jam,2025-03-14,N,CC,16.78176904764135
7,2025-03-07 23:30:00,90,America Cup,19.376664844687422,13.086506317206375,14.074167171335159,12.592675890141983,Colombia,15.5,19.75,18.75,19.75,13.25,14.25,12.75,9.75,12.25,Normal,0,0,3-5-2,3,5,2,0,-10,14,ZQEHEQQUUQUQWE,A,Nicaragua,15.75,19.25,18.5,19.25,6.5,10.25,15.5,9.0,11.75,Normal,0,0,3-5-2,3,5,2,3,-1,13,ZQEQEQQHQZZUEQ,H,Nic,2025-03-07,N,CC,19.376664844687422
8,2025-02-28 23:30:00,90,America Cup,17.167457611010914,14.583114148792117,15.840279161619023,15.085980153922879,Colombia,13.0,18.25,18.25,18.25,14.5,15.75,15.0,9.75,12.25,Normal,0,0,3-5-2,3,5,2,3,0,16,ZQEHEQQUUQQEQQ,H,Per̼,9.25,18.75,20.5,19.5,17.0,9.25,18.25,8.5,11.75,Counter-attacks,17,0,4-4-2,4,4,2,1,-3,13,ZHHEQUQHEQQQEU,A,Per,2025-02-28,N,CC,17.167457611010914
9,2025-02-21 23:30:00,90,America Cup,19.140518263617164,13.719317292853825,13.97337872420297,13.465255861504682,Colombia,15.25,18.75,18.5,19.5,13.5,13.75,13.25,9.75,12.0,Normal,0,0,3-5-2,3,5,2,3,-4,16,ZQEHEQUUUQQQQE,A,Belize,16.0,17.5,17.0,17.5,10.5,13.75,18.5,8.5,10.5,Normal,0,0,3-5-2,3,5,2,2,0,17,ZZEZEZHUHUUPEQ,H,Bel,2025-02-21,N,CC,19.140518263617164
