,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield
0,2025-06-27 20:00:00,90,World Cup,13.3695,13.6854,14.6457,15.1259,Uruguay,14.75,17.75,17.75,18.0,14.25,15.25,15.75,8.25,11.25,Normal,0,0,3-5-2,3,5,2,1,1,15,ZPEUEUQHUHUPQE,H,Lietuva,10.75,23.0,25.0,22.5,14.0,12.5,13.75,9.0,12.25,Counter-attacks,20,0,4-4-2,4,4,2,3,-10,19,ZHUEUQQHEHUQQE,A,Lie,2025-06-27,N,WC2,13.369471844289347
1,2025-06-20 20:00:00,90,World Cup,12.7207,12.0366,10.5922,11.0737,Uruguay,12.0,23.75,23.25,21.75,12.5,11.0,11.5,6.75,10.75,Counter-attacks,17,0,4-4-2,4,4,2,3,-8,16,ZUUEHQQHEHUTWE,A,Ghana,16.25,18.0,16.25,17.0,17.5,10.25,15.75,8.0,11.0,Normal,0,0,3-5-2,3,5,2,2,2,14,ZTEQEUQUUHQUEP,H,Gha,2025-06-20,CA,WC2,12.720664751476656
2,2025-06-16 20:00:00,90,World Cup,14.1579,12.5395,12.0478,13.523,Uruguay,15.5,19.25,20.0,19.5,12.75,12.25,13.75,7.75,11.25,Normal,0,0,3-5-2,3,5,2,3,0,15,ZPEHEQQUHHUPET,H,Andorra,14.0,17.0,16.75,18.0,12.0,12.75,14.25,10.0,12.25,Play creatively,26,0,3-5-2,3,5,2,1,-10,21,UHEHEUQUHQUWQE,A,And,2025-06-16,N,WC2,14.157898799642986
3,2025-06-13 20:00:00,90,World Cup,13.5982,9.224,7.9775,9.224,Uruguay,11.5,23.75,27.75,23.75,9.25,8.0,9.25,7.75,12.0,Counter-attacks,18,0,4-4-2,4,4,2,2,-10,16,ZPUEHQQHEHUEQW,A,Andorra,14.0,13.75,12.5,11.75,17.5,20.0,13.5,10.5,11.0,Play creatively,28,0,3-4-3,3,4,3,1,2,18,UUEHEUUQUEQPQU,H,And,2025-06-13,CA,WC2,13.598189454548285
4,2025-06-09 20:00:00,90,World Cup,13.7701,13.2718,13.2718,13.0165,Uruguay,12.75,19.0,20.0,19.25,13.0,13.0,12.75,7.25,11.0,Normal,0,0,3-5-2,3,5,2,3,0,14,ZQEUEUQHUHUPEP,H,Ghana,8.0,24.0,20.0,24.75,16.25,7.25,16.5,8.75,12.25,Counter-attacks,19,0,4-4-2,4,4,2,1,-9,15,ZUSETQQQEUQPEU,A,Gha,2025-06-09,N,WC2,13.770092253978747
5,2025-06-06 20:00:00,90,World Cup,16.1584,12.5899,11.8345,12.5899,Uruguay,11.25,20.0,19.25,19.25,12.5,11.75,12.5,7.25,10.75,Normal,0,0,3-5-2,3,5,2,1,-8,14,ZUEUEQUHUHHTWE,A,Lietuva,12.0,16.5,15.5,16.0,16.75,15.5,16.25,9.5,12.5,Normal,0,0,3-5-2,3,5,2,2,10,19,ZHEUEQQHHHQPEQ,H,Lie,2025-06-06,N,WC2,16.15839042731997
6,2025-05-30 20:00:00,90,World Cup,9.0424,4.9723,4.2265,17.1545,Uruguay,7.0,28.25,29.5,28.75,5.0,4.25,17.25,7.75,12.75,Counter-attacks,22,0,5-4-1,5,4,1,0,-10,14,ZUUQUQQEpUUEEQ,A,Chinese Taipei,15.25,17.5,17.0,18.0,15.0,12.75,13.0,7.25,10.5,Normal,0,0,3-5-2,3,5,2,1,0,14,ZHEHEHQQQQQHEP,H,Chi,2025-05-30,CA,WC1,9.042424288617307
7,2025-05-23 20:00:00,90,World Cup,13.9627,14.8728,14.3852,14.629,Uruguay,18.25,18.0,17.5,18.25,15.25,14.75,15.0,7.75,11.0,Normal,0,0,3-5-2,3,5,2,2,0,15,ZUEUEQUPUHUPET,H,Moldova,17.0,16.5,16.0,16.25,13.5,15.25,13.25,8.5,10.75,Normal,0,0,3-5-2,3,5,2,3,4,12,ZHEPEUUUUTQEQW,A,Mol,2025-05-23,N,WC1,13.962655603106912
8,2025-05-16 20:00:00,90,World Cup,12.8704,13.3892,14.6523,13.3892,Uruguay,16.0,20.5,21.5,20.75,13.25,14.5,13.25,7.75,11.0,Normal,0,0,3-4-3,3,4,3,3,0,14,ZUEHEQUTEHUPQU,H,Rom̢nia,13.5,21.5,24.0,21.25,11.5,11.25,12.25,8.75,12.75,Pressing,13,0,4-5-1,4,5,1,0,-7,14,UHQEHQHHpHUEEW,A,Rom,2025-05-16,N,WC1,12.870376155400908
9,2025-05-09 20:00:00,90,World Cup,12.4467,11.8993,11.8993,12.6588,Uruguay,10.25,23.75,26.75,24.0,11.75,11.75,12.5,6.5,11.0,Counter-attacks,19,0,4-4-2,4,4,2,1,-10,14,ZUQEHUUETHQUWE,A,Canada,14.5,9.5,13.0,11.5,13.25,20.75,17.5,7.75,10.0,Attack in the middle,25,0,2-5-3,2,5,3,1,10,14,ZEUEEUHUHHHQPQ,H,Can,2025-05-09,CA,WC1,12.446693766365625
